StartDate,EndDate,IPAddress,Progress,Duration (in seconds),Finished,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,da_con_trust,da_lib_trust,ra_con_trust,ra_lib_trust,da_con_gender,da_lib_gender,ra_con_gender,ra_lib_gender,da_con_race,da_lib_race,ra_con_race,ra_lib_race,da_con_emo,da_lib_emo,ra_con_emo,ra_lib_emo,da_con_threat,da_lib_threat,ra_con_threat,ra_lib_threat,age,sex,race,data_use,mTurkCode
10/19/2017 3:21,10/19/2017 3:22,108.52.206.22,100,78,1,R_1Quydcbl5mNIEMS,40.1473999,-74.83670044,anonymous,5,5,5,5,6,9,1,7,5,5,1,3,5,8,2,5,1,1,7,6,48,2,1,4,4371559420
10/19/2017 3:22,10/19/2017 3:25,174.223.0.144,100,148,1,R_3iziWmnmlk77J7a,32.36169434,-86.13359833,anonymous,8,7,5,8,7,7,5,7,4,5,3,3,6,5,3,5,1,3,7,2,36,2,1,4,557959741
10/19/2017 3:21,10/19/2017 3:25,75.80.209.79,100,276,1,R_VJ9aLjKA3rp77Pz,21.47009277,-157.9636993,anonymous,5,6,1,8,4,9,1,9,1,1,1,1,7,5,1,7,1,3,9,3,39,2,3,4,4982849937
10/19/2017 3:26,10/19/2017 3:28,73.22.227.32,100,122,1,R_2qBEJx5dlcuGMPj,42.35949707,-88.27339935,anonymous,5,5,3,7,3,1,2,4,2,2,2,2,4,5,5,7,5,4,7,6,25,1,1,4,8322377209
10/19/2017 3:33,10/19/2017 3:36,172.56.22.159,100,143,1,R_2VamQx8DxQ5wz9e,42.46420288,-70.97170258,anonymous,6,5,3,8,9,9,1,6,1,1,1,6,8,8,1,8,1,1,7,1,29,1,1,4,7638887847
10/19/2017 3:43,10/19/2017 3:47,71.11.21.84,100,215,1,R_2vcP2cO1USU4DBx,44.17930603,-72.47309875,anonymous,5,5,5,5,3,5,5,5,4,5,3,5,5,5,5,5,4,5,5,5,51,1,1,4,5047139237
10/19/2017 3:54,10/19/2017 3:56,172.10.47.15,100,112,1,R_zZuKXozDqPd5ovD,30.54229736,-97.91760254,anonymous,6,7,4,7,6,7,3,7,7,6,3,5,7,7,2,7,3,2,7,2,30,1,1,3,4707268127
10/19/2017 4:12,10/19/2017 4:15,173.244.48.107,100,179,1,R_30cmc4j6kNNvhe2,34.05439758,-118.2440033,anonymous,6,7,3,6,9,8,4,6,7,3,2,6,5,7,1,6,4,2,7,5,30,1,2,4,2262321394
10/19/2017 4:18,10/19/2017 4:19,24.198.64.141,100,71,1,R_2BzmtD1DnQqRXjy,43.79400635,-70.39790344,anonymous,5,6,5,5,9,9,3,9,1,6,1,6,6,6,3,6,4,4,3,4,31,1,1,4,8019994232
10/19/2017 4:53,10/19/2017 4:54,99.58.42.214,100,58,1,R_1rMwZ38fe8Of05L,30.14100647,-95.4693985,anonymous,7,4,6,5,7,4,6,7,3,5,2,7,5,6,4,6,6,6,6,6,28,1,1,4,57024849
10/19/2017 4:52,10/19/2017 4:55,93.102.9.31,100,209,1,R_3dLl5MMCZnrIyhH,38.71389771,-9.139404297,anonymous,5,2,4,5,5,5,1,2,2,2,2,1,6,6,4,6,2,2,6,2,22,2,1,4,8102760538
10/19/2017 4:56,10/19/2017 4:57,173.174.251.161,100,43,1,R_1inzknRyftt42K9,29.31900024,-98.36589813,anonymous,8,7,8,7,9,7,8,6,9,7,8,9,3,8,7,9,7,5,7,7,23,1,1,3,8948084656
10/19/2017 4:59,10/19/2017 5:02,72.48.187.182,100,193,1,R_2WHK6FY6Wm9RKTh,31.85249329,-102.3470993,anonymous,5,5,3,6,5,4,1,5,1,1,1,1,6,5,4,5,3,3,8,2,49,1,1,4,3836786440
10/19/2017 5:00,10/19/2017 5:02,74.136.169.153,100,144,1,R_3PDRLEclyOEXaw1,37.14100647,-83.73719788,anonymous,8,5,5,5,8,8,2,8,3,3,3,3,8,7,7,7,2,3,4,6,42,2,1,3,1474780846
10/19/2017 5:07,10/19/2017 5:10,12.235.184.2,100,220,1,R_2Phim6q3nLx0zsM,35.23019409,-97.27120209,anonymous,6,6,4,6,7,7,3,7,5,5,5,5,5,6,4,6,4,4,6,4,27,1,1,4,6557041611
10/19/2017 5:14,10/19/2017 5:16,73.19.227.59,100,147,1,R_1N9s2GLRi0pVyH9,35.75019836,-83.62960052,anonymous,5,5,2,5,7,5,2,8,2,2,1,2,6,5,2,6,3,3,8,3,47,2,1,4,976111363
10/19/2017 5:36,10/19/2017 5:38,99.173.179.218,100,134,1,R_UaM9LkVpZNlfTFf,36.55969238,-87.40969849,anonymous,8,8,3,6,9,9,1,8,7,1,1,1,5,3,3,5,2,4,7,2,31,2,2,4,7684306544
10/19/2017 5:44,10/19/2017 5:45,174.58.168.139,100,76,1,R_294h2M2gE3qetU8,39.04949951,-94.40899658,anonymous,5,4,3,5,7,9,7,8,1,1,1,1,7,9,3,9,2,4,7,2,35,2,1,4,5672395853
10/19/2017 6:25,10/19/2017 6:26,108.50.25.203,100,84,1,R_1lzqE1ZazZk1UAl,41.2808075,-75.89620209,anonymous,5,5,6,5,5,5,6,6,6,5,4,6,6,4,5,5,5,6,6,6,32,2,1,4,7447219309
10/19/2017 6:25,10/19/2017 6:26,152.133.6.135,100,78,1,R_3s6LvjBYOZ26SU7,40.67140198,-73.93609619,anonymous,7,7,3,5,8,7,1,4,3,2,1,3,6,5,2,6,2,5,8,3,33,2,4,4,8987020752
10/19/2017 6:25,10/19/2017 6:26,162.254.207.107,100,109,1,R_1jJ8z5q1QuPqg7A,38.63119507,-90.19219971,anonymous,5,5,2,7,7,8,3,7,3,4,3,4,7,7,3,6,4,4,7,6,50,2,1,4,1013968373
10/19/2017 6:25,10/19/2017 6:27,67.166.248.207,100,109,1,R_2dNt0XQ76mc4kKk,33.97210693,-84.4417038,anonymous,7,7,4,7,8,7,2,7,2,2,2,2,7,7,6,7,3,2,6,2,52,1,1,4,6693335250
10/19/2017 6:26,10/19/2017 6:29,104.15.198.42,100,142,1,R_232VvV3O3cv3W98,39.68780518,-82.604599,anonymous,8,9,3,8,8,8,2,8,2,2,1,2,9,9,1,9,2,2,8,1,44,2,1,4,1468510130
10/19/2017 6:28,10/19/2017 6:30,74.130.98.253,100,122,1,R_124lAVN3yla7shi,36.63549805,-88.28299713,anonymous,9,9,2,9,9,9,1,9,1,1,1,1,8,9,4,9,1,1,5,1,46,1,1,4,6188652185
10/19/2017 6:28,10/19/2017 6:30,98.26.104.79,100,106,1,R_1hF3KMp5wkJBLQp,35.91329956,-79.15920258,anonymous,6,5,4,5,7,6,3,8,5,5,4,5,6,6,4,5,4,4,4,3,37,2,1,4,7465101778
10/19/2017 6:36,10/19/2017 6:38,24.255.3.9,100,104,1,R_3NC0f6wONBrUcl6,33.76939392,-112.2481995,anonymous,6,6,3,7,4,8,2,5,3,4,2,3,5,6,2,7,1,2,7,2,42,2,1,4,7436908711
10/19/2017 7:56,10/19/2017 7:58,174.255.199.204,100,141,1,R_5nkEGT0UKWjfj8t,37.75100708,-97.8219986,anonymous,6,7,5,7,7,7,3,7,6,6,4,6,7,8,5,6,2,2,4,2,31,2,1,4,1330681998
10/19/2017 8:00,10/19/2017 8:02,108.219.212.132,100,92,1,R_3NyPSzE1B0ZHM7p,34.17529297,-118.3471985,anonymous,5,5,3,5,8,7,2,7,1,1,1,1,5,6,1,5,3,5,8,5,58,1,1,4,2080932781
10/19/2017 8:00,10/19/2017 8:03,201.191.198.199,100,161,1,R_3LhF5cSr8bLtY7X,9.933303833,-84.08329773,anonymous,9,9,3,9,7,7,2,7,3,3,2,3,9,9,3,9,1,1,5,1,39,1,1,4,4841718306
10/19/2017 8:03,10/19/2017 8:04,208.84.138.84,100,75,1,R_7PPlP69QE4bTnDb,33.14639282,-97.09020233,anonymous,5,5,3,5,7,7,1,6,2,3,3,4,6,6,3,7,4,5,7,5,24,2,3,4,4821958570
10/19/2017 8:02,10/19/2017 8:04,68.8.197.142,100,149,1,R_w0IGz7JDT97mby9,32.77940369,-116.8600006,anonymous,6,9,1,9,5,9,1,9,9,9,1,4,5,9,4,9,1,1,9,9,62,1,1,4,1362428950
10/19/2017 8:02,10/19/2017 8:04,24.198.106.165,100,116,1,R_1LMDxvPfGKN74E4,44.87910461,-68.73300171,anonymous,5,5,3,5,6,5,1,6,1,1,1,1,7,5,2,6,4,5,3,2,22,2,1,4,5861239112
10/19/2017 8:04,10/19/2017 8:05,159.118.104.235,100,60,1,R_3lrwcBWoATsjjNU,30.39790344,-89.03949738,anonymous,5,5,5,5,7,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,29,1,1,4,9570093075
10/19/2017 8:05,10/19/2017 8:07,73.6.41.191,100,133,1,R_2rwPBZ9k8JOPulA,29.98219299,-95.17759705,anonymous,5,7,5,7,4,4,4,3,2,2,2,3,7,7,3,7,3,3,8,3,27,1,1,4,8973886985
10/19/2017 8:04,10/19/2017 8:09,108.51.142.156,100,291,1,R_Z1xVs09BhOkbjLX,38.75509644,-76.98049927,anonymous,8,8,4,8,5,9,2,9,1,1,1,2,7,8,2,8,2,1,8,1,35,1,2,4,2591607352
10/19/2017 8:43,10/19/2017 8:46,74.202.51.40,100,189,1,R_82rEL2e6WeG19IJ,40.73170471,-73.9885025,anonymous,5,6,1,4,8,7,1,9,3,1,1,1,5,5,3,7,6,6,8,6,41,1,3,4,7227950846
10/19/2017 9:33,10/19/2017 9:35,70.122.201.27,100,114,1,R_r23Z8slJjFx3MD7,32.95880127,-96.98120117,anonymous,8,8,5,8,9,9,1,9,4,1,4,1,6,7,5,6,1,1,6,1,26,2,2,4,8355272882
10/19/2017 9:33,10/19/2017 9:35,74.102.224.63,100,122,1,R_a3OeivGSxYnP3vH,40.65089417,-74.21649933,anonymous,5,8,2,8,8,9,1,8,1,1,1,1,8,9,1,8,1,1,9,1,25,2,1,4,3260581289
10/19/2017 9:36,10/19/2017 9:37,107.213.216.165,100,69,1,R_u2GsMsNOJNZgHlv,25.65859985,-80.35679626,anonymous,5,6,5,5,5,5,1,5,5,1,1,5,6,5,1,6,5,1,9,5,44,2,3,2,5054683122
10/19/2017 9:34,10/19/2017 9:37,72.185.23.235,100,170,1,R_2fuNGi9WkKw4e6V,28.93449402,-82.47229767,anonymous,5,5,2,6,4,7,1,7,4,7,1,2,8,8,2,8,2,2,8,2,44,1,1,4,6864831848
10/19/2017 9:35,10/19/2017 9:37,73.47.141.110,100,174,1,R_4NMOJv6o17daokV,43.32299805,-72.47000122,anonymous,7,7,5,6,8,8,5,6,6,4,3,4,6,6,4,6,4,4,7,3,48,2,1,4,9868010301
10/19/2017 9:36,10/19/2017 9:39,74.32.239.179,100,210,1,R_332dzsqCG6gsbQL,40.15539551,-99.33969879,anonymous,5,5,5,5,7,7,4,6,4,3,6,3,6,5,6,7,3,4,5,3,48,1,1,4,3562826384
10/19/2017 9:37,10/19/2017 9:40,181.177.190.204,100,150,1,R_qRhu5UbHzBRVV5f,-17.38330078,-66.15000153,anonymous,6,6,1,6,9,9,1,9,3,3,1,2,9,9,1,7,1,1,8,1,32,1,3,4,1406162149
10/19/2017 9:39,10/19/2017 9:43,88.202.181.11,100,227,1,R_2xPFKYUoZ8jupA6,51.49639893,-0.122406006,anonymous,5,6,1,5,9,9,1,8,1,2,1,2,5,8,2,6,1,1,7,1,47,2,2,4,2578688734
10/19/2017 10:18,10/19/2017 10:19,24.189.33.24,100,76,1,R_9BK7Z2g20fzTh61,40.84779358,-74.70970154,anonymous,5,5,3,5,3,7,3,4,4,3,3,3,6,6,3,5,3,3,3,2,27,2,1,4,9423755225
10/19/2017 11:08,10/19/2017 11:10,173.170.240.237,100,112,1,R_RrydPFrUMl8sB7b,27.71009827,-82.43139648,anonymous,5,5,2,5,7,9,1,9,2,2,2,2,9,7,1,5,1,1,9,1,57,1,1,4,8347912840
10/19/2017 11:07,10/19/2017 11:10,172.5.68.162,100,130,1,R_2pJowfgLLYGBXnt,38.39920044,-90.55660248,anonymous,5,2,5,2,7,8,1,9,1,2,8,1,8,8,3,8,1,2,9,1,36,2,1,4,377060697
10/19/2017 11:08,10/19/2017 11:10,141.218.157.130,100,144,1,R_UmBdnzgTS6hda9j,42.26829529,-85.61669922,anonymous,6,5,3,6,9,9,2,6,1,1,1,1,7,8,4,7,6,7,7,3,28,2,3,3,6544360574
10/19/2017 11:09,10/19/2017 11:11,24.158.191.7,100,90,1,R_3j0v1eEEKbKfigI,34.8914032,-85.12069702,anonymous,6,6,5,5,9,9,1,9,5,6,1,5,8,7,3,7,1,1,8,3,32,2,1,4,32047397
10/19/2017 11:10,10/19/2017 11:11,71.85.226.210,100,109,1,R_1jlyeGtwP3heups,38.58050537,-90.2743988,anonymous,5,6,4,6,8,8,7,7,2,3,6,2,6,5,6,5,3,4,6,4,28,1,1,4,5114246807
10/19/2017 11:10,10/19/2017 11:12,71.59.170.187,100,102,1,R_2D043u2QzWRPCYg,46.19329834,-123.0547943,anonymous,7,7,4,7,5,7,5,8,2,3,3,3,7,7,3,7,3,3,5,5,36,2,1,4,8515661773
10/19/2017 11:23,10/19/2017 11:24,172.251.26.35,100,103,1,R_2y1Nm5WjnN0sWnh,33.94850159,-118.2016983,anonymous,6,7,1,8,7,7,1,7,2,2,1,1,7,7,1,7,2,2,9,3,29,1,1,4,5582567290
10/19/2017 11:31,10/19/2017 11:33,70.214.116.196,100,108,1,R_1jkepLbvVdEA0ps,40.75280762,-73.97250366,anonymous,6,3,6,5,6,6,5,6,6,1,6,5,5,5,6,5,6,5,4,6,22,2,4,1,5599996811
10/19/2017 11:47,10/19/2017 11:49,108.232.39.22,100,149,1,R_3nNJxqRMJZ0RRiD,35.31430054,-96.96600342,anonymous,5,5,1,7,7,3,1,2,2,1,1,2,7,7,1,5,6,3,9,2,41,2,1,4,8541508428
10/19/2017 12:39,10/19/2017 12:40,65.246.1.5,100,54,1,R_1rwtcvcbjlEe49n,39.32809448,-76.6384964,anonymous,9,9,1,4,9,9,5,9,6,1,1,1,7,5,1,9,1,1,6,5,29,1,4,4,2295688540
10/19/2017 12:39,10/19/2017 12:41,71.71.72.137,100,85,1,R_2dhWtrnosvJOHI7,36.11720276,-80.07649994,anonymous,7,9,3,7,8,9,3,8,3,3,3,2,8,8,1,8,1,1,8,2,28,2,1,4,948260324
10/19/2017 12:39,10/19/2017 12:41,158.123.91.23,100,90,1,R_3smKlD0H4uQ6d3S,41.58770752,-71.46230316,anonymous,7,7,3,7,7,7,1,8,3,3,3,2,2,8,2,2,1,1,4,1,23,2,1,4,2626949512
10/19/2017 12:40,10/19/2017 12:42,99.60.73.17,100,98,1,R_3psAg6J157sCSyd,38.67289734,-121.1488037,anonymous,6,7,3,5,7,7,2,9,2,3,2,3,6,6,2,6,4,3,3,3,39,2,1,4,2431912059
10/19/2017 12:40,10/19/2017 12:42,73.157.177.196,100,133,1,R_C7AhgNka14lDqtb,45.6446991,-122.6297989,anonymous,5,7,5,7,5,9,1,6,1,1,1,6,7,5,1,5,5,1,3,4,21,2,1,3,1018172009
10/19/2017 12:42,10/19/2017 12:43,73.231.156.106,100,74,1,R_svSYw3oPvqD5EyJ,37.77720642,-122.493103,anonymous,6,6,3,7,9,9,1,9,1,1,4,7,6,7,1,7,1,1,9,1,39,2,4,4,2272952795
10/19/2017 12:41,10/19/2017 12:44,72.76.203.6,100,149,1,R_3PUgAiazEk77bu2,40.39399719,-74.38990021,anonymous,5,6,4,5,6,6,1,6,3,3,4,3,5,5,3,6,3,5,7,6,60,2,1,4,3151963665
10/19/2017 12:42,10/19/2017 12:44,199.111.227.84,100,78,1,R_3OrDq8wkxYWctTK,38.08880615,-78.55919647,anonymous,4,4,2,4,6,7,1,8,1,1,1,1,6,6,2,7,4,4,8,4,20,1,1,4,2080168580
10/19/2017 12:44,10/19/2017 12:46,184.91.8.251,100,116,1,R_2dg3q7Fm49eUuOT,28.91810608,-80.89710236,anonymous,7,7,2,7,6,4,1,7,2,3,3,1,7,4,1,5,3,3,7,3,22,1,1,4,8507676613
10/19/2017 14:11,10/19/2017 14:12,69.115.182.218,100,67,1,R_1IEJArufuyTTmGW,40.57670593,-74.36740112,anonymous,7,7,6,6,9,5,1,8,5,7,5,7,7,7,7,4,5,6,6,7,22,1,1,4,6491273427
10/19/2017 14:11,10/19/2017 14:12,100.40.102.29,100,71,1,R_3mdELFyqpSR2Say,41.70500183,-71.46040344,anonymous,2,5,1,3,7,5,1,8,1,1,1,1,5,2,1,5,3,6,7,2,30,1,1,4,1364305718
10/19/2017 14:15,10/19/2017 14:15,169.231.9.63,100,33,1,R_3MuNKlobP6uMlnC,34.4329071,-119.8370972,anonymous,5,5,5,5,5,5,5,5,2,5,1,5,5,6,6,5,5,5,5,4,20,1,4,3,8525172784
10/19/2017 14:15,10/19/2017 14:16,69.248.155.123,100,108,1,R_3irnUYCErcuKowZ,39.49679565,-75.01570129,anonymous,6,7,3,6,6,9,1,9,1,2,1,1,6,7,3,6,3,2,8,1,50,2,1,4,6484269034
10/19/2017 14:15,10/19/2017 14:17,71.41.112.90,100,107,1,R_1I5iOyfbrJy5YQ6,29.1098938,-80.97299957,anonymous,8,7,1,8,9,9,5,1,1,1,1,2,6,9,2,7,2,1,8,1,33,2,1,4,1570477239
10/19/2017 14:15,10/19/2017 14:17,67.0.204.233,100,135,1,R_3nwV4Ww8pNKhEj0,35.10299683,-106.6713028,anonymous,6,7,2,6,8,8,1,8,1,1,1,1,7,7,2,7,4,2,8,2,38,1,1,3,2688103500
10/19/2017 14:17,10/19/2017 14:20,50.4.194.39,100,137,1,R_3kNzooGTBChLqKz,42.49380493,-82.89849854,anonymous,7,6,4,7,5,6,2,6,2,2,1,2,7,7,3,5,3,3,5,3,37,1,1,4,531249540
10/19/2017 14:19,10/19/2017 14:21,104.231.228.176,100,128,1,R_CgBMaqpJgvrXAu5,43.05079651,-88.0381012,anonymous,7,6,5,5,7,6,3,7,8,3,4,8,8,8,4,8,4,2,7,3,47,1,1,3,5917576435
10/19/2017 14:19,10/19/2017 14:21,71.186.156.128,100,169,1,R_1OjmJXvtw8WoAxU,42.8170929,-78.82240295,anonymous,5,6,3,6,6,6,2,6,2,2,2,2,6,6,3,6,3,3,2,2,48,2,1,4,2589463941
10/19/2017 15:45,10/19/2017 15:47,24.253.73.177,100,100,1,R_tPyIkB8yFs6EK77,36.30169678,-115.1524963,anonymous,6,2,1,5,4,6,2,6,2,2,1,3,5,7,1,9,4,1,9,4,34,2,1,4,9770875927
